,Player,W,T,L,Win %,Total
158,David Woodley,7.0,1.0,7.0,0.5,15.0
159,Davis Mills,2.0,0.0,13.0,0.13333333333333333,15.0
160,Davis Webb,0.0,0.0,1.0,0.0,1.0
161,DeShone Kizer,0.0,0.0,9.0,0.0,9.0
162,Dennis Claridge,0.0,0.0,1.0,0.0,1.0
163,Dennis Dixon,1.0,0.0,1.0,0.5,2.0
164,Dennis Morrison,0.0,0.0,1.0,0.0,1.0
165,Dennis Shaw,2.0,2.0,16.0,0.15,20.0
166,Derek Anderson,2.0,0.0,18.0,0.1,20.0
167,Derek Carr,24.0,0.0,59.0,0.2891566265060241,83.0
168,Deshaun Watson,11.0,0.0,21.0,0.34375,32.0
169,Desmond Ridder,4.0,0.0,5.0,0.4444444444444444,9.0
170,Devlin Hodges,0.0,0.0,2.0,0.0,2.0
171,Dewey Warren,0.0,0.0,4.0,0.0,4.0
172,Dick Shiner,2.0,1.0,8.0,0.22727272727272727,11.0
173,Dick Wood,0.0,0.0,3.0,0.0,3.0
174,Dieter Brock,2.0,0.0,2.0,0.5,4.0
175,Don Horn,1.0,1.0,5.0,0.21428571428571427,7.0
176,Don Majkowski,6.0,1.0,18.0,0.26,25.0
177,Don Meredith,7.0,1.0,4.0,0.625,12.0
178,Don Strock,6.0,0.0,3.0,0.6666666666666666,9.0
179,Don Trull,0.0,0.0,8.0,0.0,8.0
180,Donald Hollas,0.0,0.0,4.0,0.0,4.0
181,Donovan McNabb,28.0,0.0,36.0,0.4375,64.0
182,Dorian Thompson-Robinson,1.0,0.0,1.0,0.5,2.0
183,Doug Flutie,14.0,0.0,17.0,0.45161290322580644,31.0
184,Doug Hudson,0.0,0.0,1.0,0.0,1.0
185,Doug Johnson,2.0,0.0,5.0,0.2857142857142857,7.0
186,Doug Pederson,0.0,0.0,9.0,0.0,9.0
187,Doug Williams,8.0,0.0,17.0,0.32,25.0
188,Drew Bledsoe,31.0,0.0,71.0,0.30392156862745096,102.0
189,Drew Brees,53.0,0.0,69.0,0.4344262295081967,122.0
190,Drew Lock,3.0,0.0,10.0,0.23076923076923078,13.0
191,Drew Stanton,5.0,0.0,4.0,0.5555555555555556,9.0
192,Dwayne Haskins,0.0,0.0,6.0,0.0,6.0
193,EJ Manuel,1.0,0.0,5.0,0.16666666666666666,6.0
194,Earl Morrall,8.0,1.0,8.0,0.5,17.0
195,Easton Stick,0.0,0.0,2.0,0.0,2.0
196,Ed Luther,2.0,0.0,6.0,0.25,8.0
197,Ed Rutkowski,0.0,0.0,1.0,0.0,1.0
198,Edd Hargett,1.0,1.0,5.0,0.21428571428571427,7.0
199,Eli Manning,32.0,0.0,79.0,0.2882882882882883,111.0
200,Elvis Grbac,8.0,0.0,16.0,0.3333333333333333,24.0
201,Eric Hipple,8.0,0.0,13.0,0.38095238095238093,21.0
202,Eric Zeier,0.0,0.0,3.0,0.0,3.0
203,Erik Kramer,9.0,0.0,28.0,0.24324324324324326,37.0
204,Erik Wilhelm,0.0,0.0,1.0,0.0,1.0
205,Fran Tarkenton,25.0,2.0,43.0,0.37142857142857144,70.0
206,Frank Reich,2.0,0.0,11.0,0.15384615384615385,13.0
207,Frank Ryan,4.0,0.0,8.0,0.3333333333333333,12.0
208,Gale Gilbert,0.0,0.0,3.0,0.0,3.0
209,Gardner Minshew II,5.0,0.0,13.0,0.2777777777777778,18.0
210,Garrett Gilbert,0.0,0.0,2.0,0.0,2.0
211,Gary Cuozzo,8.0,0.0,10.0,0.4444444444444444,18.0
212,Gary Danielson,8.0,0.0,16.0,0.3333333333333333,24.0
213,Gary Hogeboom,5.0,0.0,14.0,0.2631578947368421,19.0
214,Gary Huff,0.0,0.0,10.0,0.0,10.0
215,Gary Keithley,1.0,0.0,1.0,0.5,2.0
216,Gary Kubiak,3.0,0.0,1.0,0.75,4.0
217,Gary Marangi,0.0,0.0,3.0,0.0,3.0
218,Gary Wood,0.0,0.0,4.0,0.0,4.0
219,Geno Smith,7.0,0.0,22.0,0.2413793103448276,29.0
220,George Blanda,1.0,0.0,2.0,0.3333333333333333,3.0
221,George Izo,0.0,0.0,2.0,0.0,2.0
222,George Mira,2.0,0.0,0.0,1.0,2.0
223,George Wilson,0.0,0.0,4.0,0.0,4.0
224,Gifford Nielsen,0.0,0.0,7.0,0.0,7.0
225,Glenn Foley,0.0,0.0,4.0,0.0,4.0
226,Greg Cook,3.0,0.0,3.0,0.5,6.0
227,Greg Landry,10.0,0.0,33.0,0.23255813953488372,43.0
228,Guido Merkens,0.0,0.0,1.0,0.0,1.0
229,Gus Frerotte,16.0,1.0,19.0,0.4583333333333333,36.0
230,Heath Shuler,2.0,0.0,5.0,0.2857142857142857,7.0
231,Henry Burris,0.0,0.0,1.0,0.0,1.0
232,Hugh Millen,2.0,0.0,8.0,0.2,10.0
233,Ian Book,0.0,0.0,1.0,0.0,1.0
234,J.P. Losman,1.0,0.0,18.0,0.05263157894736842,19.0
235,J.T. O'Sullivan,0.0,0.0,4.0,0.0,4.0
236,JaMarcus Russell,3.0,0.0,9.0,0.25,12.0
237,Jack Concannon,5.0,0.0,16.0,0.23809523809523808,21.0
238,Jack Kemp,2.0,1.0,13.0,0.15625,16.0
239,Jack Thompson,0.0,0.0,8.0,0.0,8.0
240,Jack Trudeau,8.0,0.0,19.0,0.2962962962962963,27.0
241,Jacky Lee,0.0,0.0,2.0,0.0,2.0
242,Jacoby Brissett,6.0,0.0,18.0,0.25,24.0
243,Jake Browning,3.0,0.0,3.0,0.5,6.0
244,Jake Delhomme,13.0,0.0,26.0,0.3333333333333333,39.0
245,Jake Fromm,0.0,0.0,1.0,0.0,1.0
246,Jake Locker,2.0,0.0,8.0,0.2,10.0
247,Jake Luton,0.0,0.0,2.0,0.0,2.0
248,Jake Plummer,17.0,0.0,33.0,0.34,50.0
249,Jalen Hurts,15.0,0.0,9.0,0.625,24.0
250,Jameis Winston,8.0,0.0,25.0,0.24242424242424243,33.0
251,James Harris,5.0,0.0,10.0,0.3333333333333333,15.0
252,Jamie Martin,2.0,0.0,1.0,0.6666666666666666,3.0
253,Jared Goff,23.0,1.0,32.0,0.41964285714285715,56.0
254,Jaren Hall,0.0,0.0,1.0,0.0,1.0
255,Jarious Jackson,0.0,0.0,1.0,0.0,1.0
256,Jarrett Stidham,0.0,0.0,2.0,0.0,2.0
257,Jason Campbell,9.0,0.0,25.0,0.2647058823529412,34.0
258,Jason Garrett,1.0,0.0,0.0,1.0,1.0
259,Jay Cutler,21.0,0.0,52.0,0.2876712328767123,73.0
260,Jay Fiedler,12.0,0.0,18.0,0.4,30.0
261,Jay Schroeder,17.0,0.0,28.0,0.37777777777777777,45.0
262,Jeb Blount,0.0,0.0,1.0,0.0,1.0
263,Jeff Blake,8.0,0.0,36.0,0.18181818181818182,44.0
264,Jeff Carlson,0.0,0.0,2.0,0.0,2.0
265,Jeff Christensen,1.0,0.0,1.0,0.5,2.0
266,Jeff Driskel,0.0,0.0,5.0,0.0,5.0
267,Jeff Garcia,13.0,0.0,36.0,0.2653061224489796,49.0
268,Jeff George,10.0,0.0,42.0,0.19230769230769232,52.0
269,Jeff Hostetler,16.0,0.0,20.0,0.4444444444444444,36.0
270,Jeff Kemp,4.0,0.0,10.0,0.2857142857142857,14.0
271,Jeff Komlo,1.0,0.0,8.0,0.1111111111111111,9.0
272,Jeff Rutledge,1.0,1.0,6.0,0.1875,8.0
273,Jeff Tuel,0.0,0.0,1.0,0.0,1.0
274,Jeff Van Raaphorst,0.0,0.0,1.0,0.0,1.0
275,Jerry Golsteyn,1.0,0.0,2.0,0.3333333333333333,3.0
276,Jerry Rhome,0.0,0.0,3.0,0.0,3.0
277,Jerry Tagge,1.0,0.0,3.0,0.25,4.0
278,Jesse Freitas,1.0,0.0,3.0,0.25,4.0
279,Jesse Palmer,0.0,0.0,2.0,0.0,2.0
280,Jim Crocicchia,0.0,0.0,1.0,0.0,1.0
281,Jim Del Gaizo,0.0,0.0,3.0,0.0,3.0
282,Jim Everett,21.0,0.0,57.0,0.2692307692307692,78.0
