,Player,W,T,L,Win %,Total,PB,AP1,HoF
526,Steve Walsh,6.0,0.0,14.0,0.3,20.0,0.0,0.0,N
527,Steve Young,26.0,0.0,27.0,0.490566037735849,53.0,7.0,3.0,Y
528,Stoney Case,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
529,T.J. Rubley,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
530,T.J. Yates,3.0,0.0,3.0,0.5,6.0,0.0,0.0,N
531,Tarvaris Jackson,6.0,0.0,9.0,0.4,15.0,0.0,0.0,N
532,Taylor Heinicke,4.0,1.0,10.0,0.3,15.0,0.0,0.0,N
533,Taysom Hill,6.0,0.0,5.0,0.5454545454545454,11.0,0.0,0.0,N
534,Teddy Bridgewater,5.0,0.0,19.0,0.2083333333333333,24.0,1.0,0.0,N
535,Terrelle Pryor,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
536,Terry Bradshaw,31.0,0.0,31.0,0.5,62.0,3.0,1.0,Y
537,Terry Hanratty,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
538,Terry Nofsinger,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
539,Thaddeus Lewis,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
540,Tim Boyle,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
541,Tim Couch,7.0,0.0,21.0,0.25,28.0,0.0,0.0,N
542,Tim Hasselbeck,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
543,Tim Rattay,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
544,Tim Tebow,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
545,Tim Van Galder,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
546,Timm Rosenbach,1.0,0.0,11.0,0.0833333333333333,12.0,0.0,0.0,N
547,Todd Blackledge,5.0,0.0,9.0,0.3571428571428571,14.0,0.0,0.0,N
548,Todd Bouman,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
549,Todd Collins,7.0,0.0,7.0,0.5,14.0,0.0,0.0,N
550,Todd Hons,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
551,Todd Marinovich,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
552,Todd Philcox,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
553,Tom Brady,82.0,0.0,55.0,0.5985401459854015,137.0,15.0,3.0,N
554,Tom Flick,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
555,Tom Flores,3.0,0.0,3.0,0.5,6.0,1.0,0.0,N
556,Tom Hodson,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
557,Tom Owen,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
558,Tom Ramsey,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
559,Tom Savage,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
560,Tom Sherman,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
561,Tom Tupa,2.0,0.0,4.0,0.3333333333333333,6.0,0.0,0.0,N
562,Tommy DeVito,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
563,Tommy Kramer,15.0,0.0,25.0,0.375,40.0,1.0,0.0,N
564,Tommy Maddox,5.0,1.0,12.0,0.3055555555555556,18.0,0.0,0.0,N
565,Tony Adams,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
566,Tony Banks,11.0,0.0,24.0,0.3142857142857143,35.0,0.0,0.0,N
567,Tony Eason,3.0,0.0,16.0,0.1578947368421052,19.0,0.0,0.0,N
568,Tony Romo,19.0,0.0,30.0,0.3877551020408163,49.0,4.0,0.0,N
569,Trent Dilfer,18.0,0.0,30.0,0.375,48.0,1.0,0.0,N
570,Trent Edwards,2.0,0.0,11.0,0.1538461538461538,13.0,0.0,0.0,N
571,Trent Green,20.0,0.0,33.0,0.3773584905660377,53.0,2.0,0.0,N
572,Trevor Lawrence,12.0,0.0,19.0,0.3870967741935484,31.0,1.0,0.0,N
573,Trevor Siemian,5.0,0.0,12.0,0.2941176470588235,17.0,0.0,0.0,N
574,Trey Lance,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
575,Troy Aikman,30.0,0.0,45.0,0.4,75.0,6.0,0.0,Y
576,Troy Smith,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
577,Tua Tagovailoa,9.0,0.0,14.0,0.391304347826087,23.0,1.0,0.0,N
578,Turk Schonert,2.0,0.0,3.0,0.4,5.0,0.0,0.0,N
579,Ty Detmer,4.0,0.0,10.0,0.2857142857142857,14.0,0.0,0.0,N
580,Tyler Huntley,1.0,0.0,5.0,0.1666666666666666,6.0,1.0,0.0,N
581,Tyler Palko,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
582,Tyler Thigpen,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
583,Tyree Jackson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
584,Tyrod Taylor,8.0,1.0,19.0,0.3035714285714285,28.0,1.0,0.0,N
585,Tyson Bagent,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
586,Vince Evans,5.0,0.0,13.0,0.2777777777777778,18.0,0.0,0.0,N
587,Vince Ferragamo,2.0,0.0,9.0,0.1818181818181818,11.0,0.0,0.0,N
588,Vince Young,8.0,0.0,13.0,0.3809523809523809,21.0,2.0,0.0,N
589,Vinny Testaverde,30.0,0.0,75.0,0.2857142857142857,105.0,2.0,0.0,N
590,Virgil Carter,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
591,Wade Wilson,12.0,0.0,24.0,0.3333333333333333,36.0,1.0,0.0,N
592,Warren Moon,40.0,0.0,50.0,0.4444444444444444,90.0,9.0,0.0,Y
593,Wayne Clark,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
594,Will Furrer,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
595,Will Grier,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
596,Will Levis,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
597,Willie Totten,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
598,Zach Mettenberger,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
599,Zach Wilson,6.0,0.0,13.0,0.3157894736842105,19.0,0.0,0.0,N
600,Zeke Bratkowski,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
